pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,849.3767555375287
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,862.9752634476419
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,866.6061524303764
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,856.3364333686287
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,853.7769995307381
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,848.0214096914524
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,836.363530941491
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,835.5127181376716
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,857.3258172560793
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,868.79615537229
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,856.9891629308768
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,855.3166511990522
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,866.3219866527354
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,838.7612761412187
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,847.5462115108185
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,861.3664349725707
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,868.847164381099
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,859.4468351705561
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,855.9855763814936
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,846.9710841496299
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,837.9438111508352
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,846.7331372629212
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,857.5469195906518
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,865.5446797328112
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,855.671427338613
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,855.6841237447749
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,849.4643702824424
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,842.7380327580993
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,843.436240129821
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,856.5487500847447
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,864.9494643284667
